step,price,soc,action,profit,policy
45,38,0,2,-17.11161111111111,DDQN
46,29.54,0,2,-17.11161111111111,DDQN
47,62,0,2,-17.11161111111111,DDQN
48,39.54,0,1,-17.11161111111111,DDQN
49,32,0.125,2,-25.381055555555555,DDQN
50,32,0,1,-24.031055555555554,DDQN
51,30.01,0.125,2,-31.253277777777775,DDQN
52,30,0,2,-30.127152777777773,DDQN
53,42,0,2,-30.127152777777773,DDQN
54,59.94,0,2,-30.127152777777773,DDQN
55,31.74,0,1,-30.127152777777773,DDQN
56,36.52,0.125,0,-37.31326388888888,DDQN
57,58.16,0.125,2,-37.31326388888888,DDQN
58,32.78,0,1,-33.020263888888884,DDQN
59,24,0.125,2,-40.35081944444444,DDQN
60,27.12,0,1,-39.90081944444444,DDQN
61,37.91,0.125,2,-46.44526388888888,DDQN
62,61,0,1,-44.430388888888885,DDQN
63,15.35,0.125,1,-55.680388888888885,DDQN
64,31.3,0.25,2,-60.590111111111106,DDQN
65,58.16,0.125,2,-59.318861111111104,DDQN
66,66,0,1,-55.025861111111105,DDQN
67,16.26,0.125,2,-66.97030555555556,DDQN
68,36.27,0,2,-67.39105555555555,DDQN
69,60.71,0,2,-67.39105555555555,DDQN
70,66.84,0,1,-67.39105555555555,DDQN
71,36.39,0.125,2,-79.45216666666667,DDQN
72,39.52,0,1,-77.60829166666667,DDQN
73,60.2,0.125,2,-85.87495833333334,DDQN
74,61.87,0,2,-81.35245833333335,DDQN
75,40.16,0,2,-81.35245833333335,DDQN
76,50.26,0,2,-81.35245833333335,DDQN
77,61.73,0,2,-81.35245833333335,DDQN
0,38,0.5,2,0,Random
1,64.85,0.375,1,2.0250000000000004,Random
2,66.18,0.5,2,-9.759722222222221,Random
3,30.21,0.375,0,-4.5644722222222205,Random
4,42,0.375,1,-4.5644722222222205,Random
5,66,0.5,1,-13.175583333333332,Random
6,84.13,0.625,1,-25.12002777777778,Random
7,74,0.75,0,-39.58252777777778,Random
8,74,0.75,1,-39.58252777777778,Random
9,50,0.875,1,-52.638083333333334,Random
10,42.85,1,2,-62.360305555555556,Random
11,96.63,0.875,2,-59.789680555555556,Random
12,76,0.75,1,-51.16880555555556,Random
13,39.29,0.875,1,-64.5021388888889,Random
14,41.48,1,2,-72.73686111111111,Random
15,78.96,0.875,1,-70.32036111111111,Random
16,74,1,1,-84.06480555555555,Random
17,50,1,0,-84.06480555555555,Random
18,37.58,1,0,-84.06480555555555,Random
19,68,1,2,-84.06480555555555,Random
20,66,0.875,1,-78.66480555555555,Random
21,44,1,2,-90.60924999999999,Random
22,43.2,0.875,1,-87.90924999999999,Random
23,76.77,1,2,-96.68702777777776,Random
24,51.25,0.875,2,-90.30040277777776,Random
25,37.19,0.75,0,-86.78477777777776,Random
26,42,0.75,1,-86.78477777777776,Random
27,66,0.875,2,-95.39588888888888,Random
28,66,0.75,0,-90.22088888888888,Random
29,40.49,0.75,1,-90.22088888888888,Random
30,35.91,0.875,1,-98.62227777777777,Random
31,69.96,1,0,-106.38755555555555,Random
32,62,1,2,-106.38755555555555,Random
33,38,0.875,0,-101.66255555555556,Random
34,19.13,0.875,1,-101.66255555555556,Random
35,76,1,0,-107.09727777777778,Random
36,54.71,1,2,-107.09727777777778,Random
37,37.31,0.875,1,-103.19240277777777,Random
38,24.95,1,1,-111.152125,Random
39,74,1,2,-111.152125,Random
40,45.89,0.875,1,-105.077125,Random
41,38.02,1,0,-114.22851388888888,Random
42,28.53,1,1,-114.22851388888888,Random
43,61.35,1,0,-114.22851388888888,Random
44,39.25,1,2,-114.22851388888888,Random
45,38,0.875,2,-112.06288888888888,Random
46,29.54,0.75,1,-110.03788888888887,Random
47,62,0.875,1,-116.91844444444443,Random
48,39.54,1,1,-128.30733333333333,Random
49,32,1,1,-128.30733333333333,Random
50,32,1,1,-128.30733333333333,Random
51,30.01,1,0,-128.30733333333333,Random
52,30,1,2,-128.30733333333333,Random
53,42,0.875,2,-127.18233333333333,Random
54,59.94,0.75,1,-124.70733333333334,Random
55,31.74,0.875,1,-135.81011111111113,Random
56,36.52,1,1,-142.99622222222223,Random
57,58.16,1,0,-142.99622222222223,Random
58,32.78,1,0,-142.99622222222223,Random
59,24,1,0,-142.99622222222223,Random
60,27.12,1,2,-142.99622222222223,Random
61,37.91,0.875,1,-142.19522222222224,Random
62,61,1,2,-150.2382777777778,Random
63,15.35,0.875,2,-145.62577777777778,Random
64,31.3,0.75,0,-146.14890277777778,Random
65,58.16,0.75,2,-146.14890277777778,Random
66,66,0.625,0,-141.85590277777777,Random
67,16.26,0.625,2,-141.85590277777777,Random
68,36.27,0.5,2,-142.27665277777777,Random
69,60.71,0.375,0,-140.44627777777777,Random
70,66.84,0.375,2,-140.44627777777777,Random
71,36.39,0.25,0,-135.17677777777777,Random
72,39.52,0.25,0,-135.17677777777777,Random
73,60.2,0.25,1,-135.17677777777777,Random
74,61.87,0.375,1,-146.31566666666666,Random
75,40.16,0.5,1,-157.6865,Random
76,50.26,0.625,0,-166.04205555555555,Random
77,61.73,0.625,0,-166.04205555555555,Random
0,38,0.5,0,0,Heuristic
1,64.85,0.5,2,0,Heuristic
2,66.18,0.375,2,5.045624999999999,Heuristic
3,30.21,0.25,0,10.240874999999999,Heuristic
4,42,0.25,0,10.240874999999999,Heuristic
5,66,0.25,2,10.240874999999999,Heuristic
6,84.13,0.125,2,15.415875,Heuristic
7,74,0,2,22.630499999999998,Heuristic
8,74,0,2,22.630499999999998,Heuristic
9,50,0,0,22.630499999999998,Heuristic
10,42.85,0,0,22.630499999999998,Heuristic
11,96.63,0,2,22.630499999999998,Heuristic
12,76,0,2,22.630499999999998,Heuristic
13,39.29,0,0,22.630499999999998,Heuristic
14,41.48,0,0,22.630499999999998,Heuristic
15,78.96,0,2,22.630499999999998,Heuristic
16,74,0,2,22.630499999999998,Heuristic
17,50,0,0,22.630499999999998,Heuristic
18,37.58,0,0,22.630499999999998,Heuristic
19,68,0,2,22.630499999999998,Heuristic
20,66,0,2,22.630499999999998,Heuristic
21,44,0,0,22.630499999999998,Heuristic
22,43.2,0,0,22.630499999999998,Heuristic
23,76.77,0,2,22.630499999999998,Heuristic
24,51.25,0,2,22.630499999999998,Heuristic
25,37.19,0,0,22.630499999999998,Heuristic
26,42,0,0,22.630499999999998,Heuristic
27,66,0,2,22.630499999999998,Heuristic
28,66,0,2,22.630499999999998,Heuristic
29,40.49,0,0,22.630499999999998,Heuristic
30,35.91,0,0,22.630499999999998,Heuristic
31,69.96,0,2,22.630499999999998,Heuristic
32,62,0,2,22.630499999999998,Heuristic
33,38,0,0,22.630499999999998,Heuristic
34,19.13,0,0,22.630499999999998,Heuristic
35,76,0,2,22.630499999999998,Heuristic
36,54.71,0,2,22.630499999999998,Heuristic
37,37.31,0,0,22.630499999999998,Heuristic
38,24.95,0,0,22.630499999999998,Heuristic
39,74,0,2,22.630499999999998,Heuristic
40,45.89,0,0,22.630499999999998,Heuristic
41,38.02,0,0,22.630499999999998,Heuristic
42,28.53,0,0,22.630499999999998,Heuristic
43,61.35,0,2,22.630499999999998,Heuristic
44,39.25,0,0,22.630499999999998,Heuristic
45,38,0,0,22.630499999999998,Heuristic
46,29.54,0,0,22.630499999999998,Heuristic
47,62,0,2,22.630499999999998,Heuristic
48,39.54,0,0,22.630499999999998,Heuristic
49,32,0,0,22.630499999999998,Heuristic
50,32,0,0,22.630499999999998,Heuristic
51,30.01,0,0,22.630499999999998,Heuristic
52,30,0,0,22.630499999999998,Heuristic
53,42,0,0,22.630499999999998,Heuristic
54,59.94,0,2,22.630499999999998,Heuristic
55,31.74,0,0,22.630499999999998,Heuristic
56,36.52,0,0,22.630499999999998,Heuristic
57,58.16,0,2,22.630499999999998,Heuristic
58,32.78,0,0,22.630499999999998,Heuristic
59,24,0,0,22.630499999999998,Heuristic
60,27.12,0,0,22.630499999999998,Heuristic
61,37.91,0,0,22.630499999999998,Heuristic
62,61,0,2,22.630499999999998,Heuristic
63,15.35,0,0,22.630499999999998,Heuristic
64,31.3,0,0,22.630499999999998,Heuristic
65,58.16,0,2,22.630499999999998,Heuristic
66,66,0,2,22.630499999999998,Heuristic
67,16.26,0,0,22.630499999999998,Heuristic
68,36.27,0,0,22.630499999999998,Heuristic
69,60.71,0,2,22.630499999999998,Heuristic
70,66.84,0,2,22.630499999999998,Heuristic
71,36.39,0,0,22.630499999999998,Heuristic
72,39.52,0,0,22.630499999999998,Heuristic
73,60.2,0,2,22.630499999999998,Heuristic
74,61.87,0,2,22.630499999999998,Heuristic
75,40.16,0,0,22.630499999999998,Heuristic
76,50.26,0,2,22.630499999999998,Heuristic
77,61.73,0,2,22.630499999999998,Heuristic
